DOW1941,Date,Day,DayOfWeek,Month
131.13,01-02-1941,1,5,1
130.57,01-03-1941,2,6,1
132.01,01-05-1941,3,1,1
132.4,01-06-1941,4,2,1
132.83,01-07-1941,5,3,1
133.02,01-08-1941,6,4,1
133.02,01-09-1941,7,5,1
133.39,01-10-1941,8,6,1
133.59,01-12-1941,9,1,1
133.49,01-13-1941,10,2,1
133.25,01-14-1941,11,3,1
132.44,01-15-1941,12,4,1
131.51,01-16-1941,13,5,1
129.93,01-17-1941,14,6,1
129.54,01-19-1941,15,1,1
129.75,01-20-1941,16,2,1
129.24,01-21-1941,17,3,1
128.2,01-22-1941,18,4,1
128.65,01-23-1941,19,5,1
128.34,01-24-1941,20,6,1
128.52,01-26-1941,21,1,1
128.96,01-27-1941,22,2,1
129.03,01-28-1941,23,3,1
128.6,01-29-1941,24,4,1
126,01-30-1941,25,5,1
124.05,01-31-1941,26,6,1
124.13,02-02-1941,27,1,2
123.28,02-03-1941,28,2,2
122.67,02-04-1941,29,3,2
122.63,02-05-1941,30,4,2
124.14,02-06-1941,31,5,2
124.76,02-07-1941,32,6,2
124.3,02-09-1941,33,1,2
124.71,02-10-1941,34,2,2
124.19,02-11-1941,35,3,2
122.61,02-13-1941,36,5,2
121.1,02-14-1941,37,6,2
117.66,02-16-1941,38,1,2
118.55,02-17-1941,39,2,2
119.18,02-18-1941,40,3,2
118.98,02-19-1941,41,4,2
117.94,02-20-1941,42,5,2
119.99,02-23-1941,43,1,2
120.24,02-24-1941,44,2,2
121.49,02-25-1941,45,3,2
122.4,02-26-1941,46,4,2
122.39,02-27-1941,47,5,2
121.87,02-28-1941,48,6,2
121.97,03-02-1941,49,1,3
121.86,03-03-1941,50,2,3
120.88,03-04-1941,51,3,3
121.16,03-05-1941,52,4,3
120.3,03-06-1941,53,5,3
121.63,03-07-1941,54,6,3
121.59,03-09-1941,55,1,3
121.47,03-10-1941,56,2,3
123.64,03-11-1941,57,3,3
123.27,03-12-1941,58,4,3
123.19,03-13-1941,59,5,3
122.56,03-14-1941,60,6,3
122.75,03-16-1941,61,1,3
123.4,03-17-1941,62,2,3
123.46,03-18-1941,63,3,3
123.92,03-19-1941,64,4,3
123.55,03-20-1941,65,5,3
123.6,03-21-1941,66,6,3
122.47,03-23-1941,67,1,3
121.92,03-24-1941,68,2,3
122.39,03-25-1941,69,3,3
122.78,03-26-1941,70,4,3
122.7,03-27-1941,71,5,3
123.33,03-28-1941,72,6,3
122.68,03-30-1941,73,1,3
122.37,03-31-1941,74,2,3
122.72,04-01-1941,75,3,4
123.26,04-02-1941,76,4,4
123.43,04-03-1941,77,5,4
124.65,04-04-1941,78,6,4
124.64,04-06-1941,79,1,4
124.32,04-07-1941,80,2,4
123.64,04-08-1941,81,3,4
121.21,04-09-1941,82,4,4
119.85,04-10-1941,83,5,4
119.66,04-11-1941,84,6,4
118.6,04-13-1941,85,1,4
118.89,04-14-1941,86,2,4
118.59,04-15-1941,87,3,4
118.6,04-16-1941,88,4,4
118.16,04-17-1941,89,5,4
116.28,04-18-1941,90,6,4
116.15,04-20-1941,91,1,4
116.06,04-21-1941,92,2,4
115.78,04-22-1941,93,3,4
116.59,04-23-1941,94,4,4
117.35,04-24-1941,95,5,4
116.58,04-25-1941,96,6,4
116.43,04-27-1941,97,1,4
116.63,04-28-1941,98,2,4
116.73,04-29-1941,99,3,4
115.54,04-30-1941,100,4,4
115.3,05-01-1941,101,5,5
115.72,05-02-1941,102,6,5
115.55,05-04-1941,103,1,5
115.84,05-05-1941,104,2,5
117.1,05-06-1941,105,3,5
116.87,05-07-1941,106,4,5
116.34,05-08-1941,107,5,5
116.46,05-09-1941,108,6,5
117.54,05-11-1941,109,1,5
117.14,05-12-1941,110,2,5
117.21,05-13-1941,111,3,5
117.01,05-14-1941,112,4,5
115.73,05-15-1941,113,5,5
115.86,05-16-1941,114,6,5
116.11,05-18-1941,115,1,5
116.15,05-19-1941,116,2,5
117.65,05-20-1941,117,3,5
117.82,05-21-1941,118,4,5
116.81,05-22-1941,119,5,5
116.73,05-23-1941,120,6,5
116.64,05-25-1941,121,1,5
115.73,05-26-1941,122,2,5
115.95,05-27-1941,123,3,5
116.16,05-28-1941,124,4,5
116.23,05-29-1941,125,5,5
115.76,06-01-1941,126,1,6
116.18,06-02-1941,127,2,6
117.38,06-03-1941,128,3,6
117.68,06-04-1941,129,4,6
118.13,06-05-1941,130,5,6
118,06-06-1941,131,6,6
118.89,06-08-1941,132,1,6
120.16,06-09-1941,133,2,6
121.89,06-10-1941,134,3,6
122.18,06-11-1941,135,4,6
122.98,06-12-1941,136,5,6
122.31,06-13-1941,137,6,6
122.04,06-15-1941,138,1,6
121.95,06-16-1941,139,2,6
123.12,06-17-1941,140,3,6
123.5,06-18-1941,141,4,6
123.48,06-19-1941,142,5,6
122.19,06-20-1941,143,6,6
122.51,06-22-1941,144,1,6
123.97,06-23-1941,145,2,6
123.24,06-24-1941,146,3,6
123.52,06-25-1941,147,4,6
123.96,06-26-1941,148,5,6
123.46,06-27-1941,149,6,6
123.4,06-29-1941,150,1,6
123.14,06-30-1941,151,2,6
122.85,07-01-1941,152,3,7
123.58,07-02-1941,153,4,7
124.04,07-03-1941,154,5,7
124.18,07-06-1941,155,1,7
126.16,07-07-1941,156,2,7
127.64,07-08-1941,157,3,7
127.63,07-09-1941,158,4,7
127.78,07-10-1941,159,5,7
127.9,07-11-1941,160,6,7
127.8,07-13-1941,161,1,7
127.89,07-14-1941,162,2,7
128.19,07-15-1941,163,3,7
127.83,07-16-1941,164,4,7
127.14,07-17-1941,165,5,7
127.69,07-18-1941,166,6,7
127.98,07-20-1941,167,1,7
129.51,07-21-1941,168,2,7
129.58,07-22-1941,169,3,7
129.16,07-23-1941,170,4,7
128.59,07-24-1941,171,5,7
128.06,07-25-1941,172,6,7
128.7,07-27-1941,173,1,7
130.06,07-28-1941,174,2,7
129.19,07-29-1941,175,3,7
128.95,07-30-1941,176,4,7
128.79,07-31-1941,177,5,7
128.22,08-01-1941,178,6,8
128.21,08-03-1941,179,1,8
128.17,08-04-1941,180,2,8
128.14,08-05-1941,181,3,8
128.1,08-06-1941,182,4,8
128.09,08-07-1941,183,5,8
127.48,08-08-1941,184,6,8
126.4,08-10-1941,185,1,8
126.01,08-11-1941,186,2,8
125.81,08-12-1941,187,3,8
125.65,08-13-1941,188,4,8
125.96,08-14-1941,189,5,8
124.9,08-15-1941,190,6,8
125.05,08-17-1941,191,1,8
125.62,08-18-1941,192,2,8
125.57,08-19-1941,193,3,8
126.01,08-20-1941,194,4,8
125.99,08-21-1941,195,5,8
125.84,08-22-1941,196,6,8
125.91,08-24-1941,197,1,8
125.86,08-25-1941,198,2,8
126.56,08-26-1941,199,3,8
127.08,08-27-1941,200,4,8
127.77,08-28-1941,201,5,8
127.43,08-29-1941,202,6,8
127.7,08-31-1941,203,1,8
128.31,09-01-1941,204,2,9
127.91,09-03-1941,205,4,9
127.51,09-04-1941,206,5,9
127.17,09-05-1941,207,6,9
127.26,09-07-1941,208,1,9
127.51,09-08-1941,209,2,9
127.43,09-09-1941,210,3,9
126.53,09-10-1941,211,4,9
127.15,09-11-1941,212,5,9
127.18,09-12-1941,213,6,9
127.28,09-14-1941,214,1,9
127.2,09-15-1941,215,2,9
127.43,09-16-1941,216,3,9
129.32,09-17-1941,217,4,9
128.77,09-18-1941,218,5,9
127.95,09-19-1941,219,6,9
127.54,09-21-1941,220,1,9
127.64,09-22-1941,221,2,9
128.03,09-23-1941,222,3,9
127.54,09-24-1941,223,4,9
126.38,09-25-1941,224,5,9
125.81,09-26-1941,225,6,9
126.03,09-28-1941,226,1,9
126.05,09-29-1941,227,2,9
126.82,09-30-1941,228,3,9
126.85,10-01-1941,229,4,10
126.15,10-02-1941,230,5,10
126.06,10-03-1941,231,6,10
126.1,10-05-1941,232,1,10
125.83,10-06-1941,233,2,10
124.42,10-07-1941,234,3,10
124.13,10-08-1941,235,4,10
122.53,10-09-1941,236,5,10
122.46,10-10-1941,237,6,10
122.63,10-13-1941,238,2,10
121.82,10-14-1941,239,3,10
120.52,10-15-1941,240,4,10
118.52,10-16-1941,241,5,10
119.15,10-17-1941,242,6,10
120.1,10-19-1941,243,1,10
120.13,10-20-1941,244,2,10
121.07,10-21-1941,245,3,10
120.56,10-22-1941,246,4,10
120.47,10-23-1941,247,5,10
121.18,10-24-1941,248,6,10
120.73,10-26-1941,249,1,10
119.43,10-27-1941,250,2,10
119.6,10-28-1941,251,3,10
119.37,10-29-1941,252,4,10
119.18,10-30-1941,253,5,10
117.82,10-31-1941,254,6,10
118.11,11-02-1941,255,1,11
118.87,11-03-1941,256,2,11
119.85,11-04-1941,257,3,11
118.84,11-05-1941,258,4,11
118.33,11-06-1941,259,5,11
118.26,11-07-1941,260,6,11
117.45,11-09-1941,261,1,11
115.44,11-10-1941,262,2,11
115.67,11-12-1941,263,4,11
116.81,11-13-1941,264,5,11
116.72,11-14-1941,265,6,11
116.2,11-16-1941,266,1,11
115.87,11-17-1941,267,2,11
116.68,11-18-1941,268,3,11
117.05,11-19-1941,269,4,11
117.04,11-20-1941,270,5,11
117.3,11-23-1941,271,1,11
116.96,11-24-1941,272,2,11
115.93,11-25-1941,273,3,11
115.64,11-26-1941,274,4,11
114.66,11-27-1941,275,5,11
114.23,11-28-1941,276,6,11
113.59,11-30-1941,277,1,11
115.57,12-01-1941,278,2,12
116.65,12-02-1941,279,3,12
116.6,12-03-1941,280,4,12
115.9,12-04-1941,281,5,12
116.6,12-05-1941,282,6,12
112.52,12-07-1941,283,1,12
109.27,12-08-1941,284,2,12
109.01,12-09-1941,285,3,12
110.91,12-10-1941,286,4,12
110.58,12-11-1941,287,5,12
110.73,12-12-1941,288,6,12
111.15,12-14-1941,289,1,12
110.86,12-15-1941,290,2,12
109.36,12-16-1941,291,3,12
108.21,12-17-1941,292,4,12
108.28,12-18-1941,293,5,12
107.81,12-19-1941,294,6,12
106.59,12-21-1941,295,1,12
106.34,12-22-1941,296,2,12
106.67,12-23-1941,297,3,12
106.95,12-24-1941,298,4,12
107.54,12-26-1941,299,6,12
107.56,12-28-1941,300,1,12
111.32,12-29-1941,301,2,12
110.96,12-30-1941,302,3,12
