crcBrd,xDev,yDev,tDev
1,-0.00128,-0.00183,0.00732
1,-0.00092,-0.00142,0.06317
1,-0.00104,-0.00174,0.04221
1,-0.00271,-0.0012,0.0401
1,-0.00174,-0.0023,0.03069
1,-5e-04,-0.00157,0.03451
1,-0.00138,-0.00235,-0.00775
1,-0.00242,-0.00208,0.02614
1,-0.00104,-0.0014,-0.00245
1,-0.00105,-0.00115,-0.00158
1,-0.00081,-0.00226,-2e-05
1,-0.00283,-0.00145,-0.00156
1,-0.00101,-0.00248,0.00057
1,-4e-04,-0.00132,0.00031
1,-0.00091,-0.00235,0.00148
1,-0.00237,-0.0013,0.00023
2,-0.00116,-0.00121,0.00742
2,-0.00028,-0.00082,0.03026
2,-0.00072,-0.00171,0.03988
2,-0.00218,-0.00071,0.02159
2,-0.00164,-0.0021,0.03495
2,-0.00101,-0.001,-0.00459
2,-0.00129,-0.00215,-0.00818
2,-0.00228,-0.00194,0.02241
2,-0.00143,-0.00115,-0.00064
2,-0.00109,-0.00126,-0.00023
2,-0.00112,-0.00152,6e-04
2,-0.00257,-0.00145,0.00078
2,-0.00084,-0.00161,-0.00483
2,-0.00037,-0.00112,0.00192
2,-0.00065,-0.00179,-0.00042
2,-0.00209,-0.00118,-0.00213
3,-0.00095,-0.00166,0.03272
3,-0.00048,-0.00106,0.0276
3,-0.00056,-0.00151,0.01258
3,-0.00215,-0.00083,0.02087
3,-0.00134,-0.00259,0.0535
3,-0.00054,-0.00135,0.03628
3,-8e-04,-0.00216,-0.03113
3,-0.00234,-0.00231,0.02312
3,-0.00153,-0.00172,-0.00182
3,-0.00106,-0.00102,0.00087
3,-0.00078,-0.0019,-0.00226
3,-0.00241,-0.00153,0.00274
3,-0.00092,-0.00225,0.00056
3,-0.00021,-0.00135,-0.00067
3,-0.00056,-0.00224,0.00132
3,-0.0018,-0.00151,-8e-05
4,-0.00157,-0.0024,0.01768
4,-0.00112,-0.00209,0.00317
4,-0.00127,-0.00179,0.07677
4,-0.00115,-0.00104,0.0299
4,-0.00095,-0.00201,0.05252
4,-0.00091,-0.00167,0.02959
4,-0.00052,0.00025,0.12981
4,-0.00138,-0.00121,0.04797
4,-0.00098,-0.00217,-0.00288
4,-0.00119,-0.00189,-0.00285
4,-5e-04,-0.0016,-0.00101
4,-0.00092,-0.00113,-0.00079
4,-0.00118,-0.0025,-0.00091
4,-0.00126,-0.00175,-0.00211
4,-0.00042,-0.00136,-0.00201
4,-0.00129,-0.00114,0.00064
5,-0.00131,-0.00258,0.01575
5,-0.00126,-0.00236,0.0104
5,-0.00148,-0.00169,0.03475
5,-0.001,-0.00117,0.01093
5,-0.00124,-0.00165,0.03906
5,-0.00096,-0.00144,0.03098
5,-0.00134,-8e-04,0.03375
5,-0.00097,-0.001,0.03478
5,-0.00097,-0.00187,-9e-05
5,-7e-04,-0.00139,-0.00055
5,-0.00044,-0.00141,6e-04
5,-0.00078,-0.0011,-0.00097
5,-0.00103,-0.00239,-0.00075
5,-0.00095,-0.00177,-0.00131
5,-0.00048,-0.00134,-0.00065
5,-0.00162,-0.00105,-0.00081
6,-0.00119,-0.00278,-0.01015
6,-0.00093,-0.00226,0.02422
6,-0.00082,-0.00152,0.01697
6,-0.00082,-0.00111,0.02619
6,-0.00076,-0.00222,0.02664
6,-0.00068,-0.00144,0.01298
6,-0.00076,-0.00098,0.0346
6,-0.00057,-0.00109,0.03108
6,-0.00081,-0.00253,-0.00193
6,-0.00063,-0.00189,-0.00069
6,-0.00031,-0.0016,3e-05
6,-0.00072,-0.00078,0.00138
6,-0.00089,-0.00267,-0.00275
6,-0.00116,-0.00236,0.00128
6,-0.00062,-0.0019,0.00181
6,-0.00124,-0.00121,0.00056
7,-0.00091,-0.00206,0.04642
7,0.00027,-0.00266,0.09559
7,-0.00054,-0.00189,0.00114
7,-0.00165,-0.00211,0.05712
7,-0.00142,-0.00273,0.03536
7,-0.00028,-0.00281,0.04184
7,-0.00079,-0.00264,-0.07792
7,-0.00177,-0.00296,0.0297
7,-0.00116,-0.00197,-0.00332
7,-6e-04,-0.00234,-0.00098
7,-0.00105,-0.00228,0.00056
7,-0.00186,-0.00259,0.00062
7,-8e-04,-0.00262,-0.00166
7,0.00071,-0.00316,-0.0036
7,-0.00081,-0.00244,0.00038
7,-0.00179,-0.00272,-0.00158
8,-0.00067,-0.00164,0.03637
8,4e-05,-0.00175,0.08009
8,-0.00078,-0.00159,0.00222
8,-0.00158,-0.00166,0.04577
8,-0.00126,-0.00259,0.06128
8,-4e-04,-0.00227,0.05213
8,-0.00028,-0.00235,-0.0594
8,-0.00188,-0.00269,0.03929
8,-0.00107,-0.00165,0.00078
8,-0.00054,-0.00195,0.00082
8,-0.00094,-0.00184,0.00026
8,-0.00225,-0.00188,0.00182
8,-0.00077,-0.00207,0.0025
8,3e-05,-0.00272,0.00153
8,-0.00286,-0.00154,0.09286
8,-0.00149,-0.00221,-0.00112
9,-0.00102,-0.00228,-0.04128
9,-0.00079,-0.00261,0.05008
9,-0.00145,-0.00241,0.05173
9,-0.00079,-0.00199,0.01705
9,-0.00073,-0.00214,-0.02276
9,-0.00058,-0.00152,0.04065
9,-0.00123,-0.00157,0.01962
9,-0.00062,-0.00202,0.02595
9,-0.00064,-0.00199,-0.00105
9,-8e-04,-0.0019,-0.0014
9,-0.00076,-0.00162,0.00069
9,-4e-04,-0.00167,-0.00188
9,-0.00069,-0.00245,-0.00254
9,-0.0011,-0.00225,0.00066
9,-0.00126,-0.00218,-0.00108
9,-0.00128,-0.00183,0.00069
10,2e-04,0.00062,0.01266
10,5e-05,0.00021,0.07172
10,-0.00013,0.0015,0.04789
10,-1e-04,0.00132,0.03275
10,1e-04,-0.00037,0.04721
10,0.00038,-0.00054,0.05031
10,-0.00027,-2e-05,0.01751
10,-0.00064,0.00044,0.00513
10,0.00042,0.00028,-0.00204
10,-0.00015,-5e-05,-0.00249
10,-0.00038,0.00067,-0.00077
10,-0.00051,0.00141,-2e-05
10,-9e-05,-0.00082,-5e-04
10,0.00017,-0.00047,-0.0013
10,-7e-05,-5e-04,-0.00018
10,-0.00057,0.00044,-0.00022
11,0.00039,0.00103,0.03609
11,0,0.00158,0.00983
11,-0.00014,0.00152,0.05673
11,-0.00016,0.00168,0.02015
11,0.00013,-0.00038,0.04871
11,0.00028,-0.00045,0.05144
11,-0.00018,0.00019,0.03127
11,-0.00067,0.00016,0.01666
11,0.00025,0.00098,-0.00097
11,0,0.00022,-0.00235
11,-0.00028,0.00083,0.00166
11,-0.00053,0.00131,0.00086
11,0.00084,-0.00034,-0.00157
11,6e-04,-0.00075,-4e-04
11,0.00023,-0.00035,-0.00015
11,-0.00018,-0.00025,-0.00014
12,0.00046,0.00097,0.04089
12,0,0.00096,0.03555
12,-4e-05,0.00161,0.01946
12,-0.00033,0.00173,0.00825
12,0.00069,0.00011,0.04236
12,-1e-05,0.00016,-0.0243
12,-1e-04,-0.00017,0.03594
12,-0.00035,0.00041,0.01222
12,-5e-05,0.00038,-0.00183
12,0.00015,-2e-05,-0.00254
12,-0.00013,0.00082,-0.00277
12,-0.00051,0.00181,-0.00138
12,0.00099,-0.00021,-0.00249
12,0.00051,-0.00044,-0.00202
12,0.00037,-0.00074,-0.00017
12,-0.00033,5e-05,-0.00048
13,0.00241,0.00076,0.03315
13,0.00173,0.00032,0.03592
13,0.00218,0.00103,0.03655
13,0.00205,0.00118,0.07442
13,0.00242,2e-05,0.05305
13,0.00188,-0.00043,0.06931
13,0.00222,0,-0.01414
13,0.0021,-7e-05,0.07126
13,0.00165,0.00061,-0.00201
13,0.0015,0.00023,4e-04
13,0.00147,0.00043,0.00018
13,0.00169,0.00063,-0.00236
13,0.00255,-0.00043,0.00034
13,0.00215,-0.00054,0.00074
13,0.0023,-1e-04,-0.00128
13,0.00208,3e-05,0.00071
14,0.00166,0.00081,0.03174
14,0.00183,0.00098,0.00593
14,0.0021,0.00292,0.03396
14,0.00223,0.00116,0.03133
14,0.0012,0.00039,0.0746
14,0.00214,-0.00025,0.01203
14,0.00222,-0.00015,0.00039
14,0.00228,1e-05,0.04738
14,0.00173,8e-04,-0.00202
14,0.00133,0.00132,-0.00021
14,0.00178,0.00089,-0.00038
14,0.00199,0.00076,0.00031
14,0.00251,8e-05,-0.00166
14,0.0025,-0.00034,-0.00049
14,0.00325,-0.00011,-0.00043
14,0.0026,-8e-05,0.00107
15,0.00162,0.00068,0.02966
15,0.0016,0.0013,-0.01847
15,0.00224,0.00243,0.05376
15,0.00203,0.00116,0.03001
15,0.00146,0.00056,0.07556
15,0.00196,6e-05,0.01598
15,0.00227,-0.00013,-0.02728
15,0.00239,0.00066,0.07172
15,0.00161,0.00064,0.00172
15,0.00144,0.00198,-4e-04
15,0.00171,0.00084,8e-04
15,0.00176,5e-04,-0.00053
15,0.00193,-4e-05,-0.00218
15,0.00277,-0.00031,-0.00206
15,0.00385,0.00015,0.00068
15,0.00272,-0.00013,2e-05
16,0.00234,-0.00019,0.03787
16,0.00276,-8e-04,0.07744
16,0.00288,4e-05,0.07253
16,0.00227,0.00054,0.06551
16,0.00239,-0.00112,0.04577
16,0.00258,-0.00098,0.08886
16,0.00232,-0.00043,0.03807
16,0.00219,-0.00068,0.04227
16,0.00211,-0.00063,-0.0013
16,0.00248,-0.00104,0.00014
16,0.00246,-0.00031,0.00118
16,0.00201,-3e-05,-0.00213
16,0.00234,-0.00098,-0.0017
16,0.00317,-0.00147,-0.00156
16,0.00288,-0.00067,0.00089
16,0.00251,-0.00017,0.00034
17,0.00224,-0.00023,0.04042
17,0.0027,-0.00022,0.08535
17,0.00253,0.00048,0.10141
17,0.00263,0.00052,0.04286
17,0.00267,-0.00122,0.06106
17,0.00276,-0.00036,0.01316
17,0.00247,-0.00059,0.06835
17,0.00207,-0.00053,0.07053
17,0.00255,-4e-04,-0.00366
17,0.00244,-0.00059,0.00139
17,0.00216,-7e-05,1e-05
17,0.00227,0.00046,0.00097
17,0.00265,-0.00098,-0.00045
17,0.00353,-0.00084,-0.00124
17,0.00295,-0.00027,-0.00172
17,0.00289,-0.00016,7e-04
18,0.00264,0.00024,0.03347
18,0.0028,0.00024,0.05518
18,0.00248,0.00027,0.08116
18,0.00237,0.00041,0.04343
18,0.00269,-0.00074,0.02662
18,0.00243,-0.00045,0.0342
18,0.00234,-0.00071,0.07512
18,0.00247,-0.00066,0.02225
18,0.00232,0.00022,-0.00208
18,0.00242,-7e-05,0.00122
18,0.0019,6e-05,0.00105
18,0.00209,4e-05,-0.00055
18,0.00291,-0.00096,-0.0027
18,0.00293,-0.00094,0.00095
18,0.0029,-0.00092,-0.00063
18,0.00333,8e-05,-0.00031
19,0.00293,0.00092,0.00236
19,0.00282,0.00066,0.05393
19,0.00277,0.00036,0.0744
19,0.00233,0.00088,0.04951
19,0.00261,-0.00049,0.0254
19,0.00282,-7e-04,0.07116
19,0.00222,-0.00058,0.062
19,0.00242,-0.00067,0.03374
19,0.00244,0.00025,-0.00275
19,0.00262,-0.00029,2e-04
19,0.00218,-4e-05,0.00123
19,0.00199,0.00021,0.00043
19,0.00299,-0.00117,-0.00034
19,0.00321,-8e-04,0.00073
19,0.00284,-0.00059,0.00031
19,0.00211,2e-04,-0.00127
20,0.00456,-0.00059,0.03809
20,0.00395,0.00029,0.08945
20,0.00372,0.00045,0.08219
20,0.00362,0.00038,0.00713
20,0.00416,-0.00176,0.04805
20,0.00341,-0.00044,0.05471
20,0.00344,-0.00048,0.04026
20,0.00357,-0.00119,0.02786
20,0.00407,-0.00122,-0.00061
20,0.00304,-0.00045,0.00175
20,0.0034,0,0.00032
20,0.00353,-4e-05,-0.00233
20,0.00436,-0.00196,-0.00202
20,0.00397,-0.00102,0.00018
20,0.00399,-0.00111,0.00195
20,0.00366,-0.00104,-0.00139
21,0.00223,0.00064,0.04346
21,0.00198,0.00102,0.02692
21,0.00252,0.00125,0.01696
21,0.00242,0.00069,0.03852
21,0.00229,-0.00102,0.08721
21,0.00261,-0.00074,0.00526
21,0.00222,-0.00071,-0.01498
21,0.00264,0.00018,0.0306
21,0.00246,2e-05,1e-05
21,0.00207,0.00028,-0.00135
21,0.00201,0.00044,8e-05
21,0.00173,0.00021,-0.00124
21,0.00206,-0.00167,-0.00074
21,0.00275,-0.00087,-0.0031
21,0.00219,-0.00061,0.00066
21,0.00206,-0.00056,-0.00051
22,0.00168,0.00118,-0.01417
22,0.00179,0.00132,0.00816
22,0.00203,0.00111,0.01558
22,0.0024,0.00096,0.04357
22,0.00229,-0.00076,0.05651
22,0.00254,-0.00068,0.01581
22,0.00179,-0.00073,1e-05
22,0.00211,-1e-04,-0.01402
22,0.00214,-0.00062,-2e-04
22,0.00174,0.00029,-2e-05
22,0.00175,5e-05,0.00099
22,0.00171,0.00037,-0.00066
22,0.00255,-0.00112,-0.00135
22,0.00245,-0.00106,-0.00089
22,0.00268,-0.00127,0.00029
22,0.00213,-0.00108,-0.00082
23,0.00197,0.00098,-0.00159
23,0.00188,0.00117,0.03078
23,0.00212,0.00136,0.0219
23,0.00214,0.00076,0.0224
23,0.00228,-7e-04,0.0536
23,0.00213,-0.00049,0.01667
23,0.00204,-0.00108,0.02215
23,0.00159,1e-04,0.01778
23,0.00232,-0.00019,-0.00022
23,0.00178,5e-05,-0.00022
23,0.00168,0.00045,-0.00122
23,0.00174,0.00032,0.00205
23,0.00232,-0.00119,-0.00323
23,0.00222,-0.00097,-0.0014
23,0.00246,-0.00095,0.00128
23,0.00211,-0.00129,0.00049
24,0.00195,0.00042,-0.01177
24,0.0024,0.00102,0.00726
24,0.00169,0.00047,0.06547
24,0.00171,0.00033,-0.01512
24,0.00257,0.00017,0.07212
24,0.00276,0.001,0.01704
24,0.00162,2e-04,0.07378
24,0.00186,0.00013,0.01962
24,0.00239,0.00015,-0.00263
24,0.0027,0.00035,0.00055
24,0.00207,0.00018,-0.00082
24,0.0023,8e-05,0.00074
24,0.00262,-0.00058,-0.0023
24,0.00257,-0.00014,0.00096
24,0.00185,-0.00058,-0.00175
24,0.0016,-0.00023,0.00061
25,0.00169,4e-04,0.01623
25,0.00251,0.00079,0.03488
25,0.00134,0.00022,0.07818
25,0.00196,0.00019,-0.00806
25,0.00246,2e-04,0.0795
25,0.00283,0.00113,0.03288
25,0.00186,-0.00034,0.0835
25,0.00213,0.00012,0.02924
25,0.00226,-5e-05,0.00029
25,0.00282,0.00105,-0.00098
25,0.00206,0.00038,0.00041
25,0.00204,0.00102,-0.00171
25,0.00204,-0.00024,-0.00278
25,0.00275,2e-04,5e-04
25,0.00243,-0.00035,-0.0023
25,0.00192,-0.00093,0.00143
26,0.00198,0.00018,0.00546
26,0.00263,0.00088,0.0105
26,0.00164,0.00045,0.03924
26,0.0014,0.00021,-0.0329
26,0.00271,0.00057,0.01685
26,0.00287,0.00094,0.02757
26,0.00243,-0.00014,0.03591
26,0.00195,0,-0.00933
26,0.00273,0.00037,-0.001
26,0.00274,0.00089,0.00124
26,0.00193,-0.00019,0.00116
26,0.00237,0.00041,-0.00063
26,0.00235,0.00019,-0.00068
26,0.00283,0.00028,8e-04
26,0.00192,-0.00073,-0.00053
26,0.00206,-0.00067,-0.00069
