CustomerNumber,Censor,TimeStamp,SystemMaturity,Country
12558,1,1574153,Mature,UNITED STATES
12836,0,2261043,Mature,UNITED STATES
CH0007,1,1726097,Mature,INDIA
CH0007,1,1178089,Mature,INDIA
CA0029,1,1354856,Mature,CHINA
CA0029,1,2770291,Mature,CHINA
C710750,1,2020869,Mature,SPAIN
CA0029,1,911377,Mature,CHINA
C850290,1,1014660,Mature,BULGARIA
11151,1,1153479,Mature,UNITED STATES
12896,1,4484240,Mature,UNITED STATES
11252,1,3682938,Mature,UNITED STATES
11252,1,2074945,Mature,UNITED STATES
12837,1,118501,Young,UNITED STATES
12837,1,118501,Mature,UNITED STATES
C840035,0,246278,Mature,POLAND
CA0029,0,376979,Mature,CHINA
12940,1,3187382,Mature,UNITED STATES
12939,1,3115054,Mature,UNITED STATES
C120800,0,735036,Mature,BELGIUM
C120800,1,1164644,Mature,BELGIUM
C810100,0,2187785,Mature,HUNGARY
C810100,0,1541205,Mature,HUNGARY
C810100,0,20927,Mature,HUNGARY
C810100,0,532693,Mature,HUNGARY
CA0029,1,467071,Mature,CHINA
CA0029,1,1369590,Mature,CHINA
10800,1,1431263,Mature,UNITED STATES
CA0029,1,1073313,Mature,CHINA
CA0029,1,711775,Mature,CHINA
12449,0,78622,Mature,UNITED STATES
12939,1,1904169,Mature,UNITED STATES
12939,1,1735528,Mature,UNITED STATES
12939,1,5793846,Mature,UNITED STATES
C145750,1,1575949,Mature,ITALY
12798,0,890443,Mature,UNITED STATES
C712090,0,1407651,Mature,SPAIN
C712090,0,531066,Mature,SPAIN
12717,1,1928753,Mature,UNITED STATES
12904,1,39038,Mature,UNITED STATES
12904,1,335563,Mature,UNITED STATES
12904,1,335531,Mature,UNITED STATES
11571,0,2955188,Mature,UNITED STATES
C146400,0,607608,Mature,ITALY
12373,1,1716916,Mature,UNITED STATES
CA0029,1,248787,Mature,CHINA
11630,1,1158952,Mature,UNITED STATES
11630,1,1316534,Mature,UNITED STATES
12849,1,1308760,Mature,UNITED STATES
12837,1,336966,Mature,UNITED STATES
11891,1,202352,Mature,UNITED STATES
11891,1,177611,Mature,UNITED STATES
CL0043,1,3312879,Mature,BRAZIL
12821,1,871935,Mature,UNITED STATES
12821,1,1789903,Mature,UNITED STATES
CA0029,1,2917224,Mature,CHINA
CA0015,0,19546,Mature,NEW ZEALAND
C840090,0,1188817,Mature,ROMANIA
C840090,0,424721,Mature,ROMANIA
CL0011,1,2437982,Mature,BRAZIL
CJ071680,1,46448,Mature,JAPAN
C750190,0,320693,Mature,TURKEY
12802,1,2487545,Mature,UNITED STATES
12802,1,1958041,Mature,UNITED STATES
12802,1,828281,Mature,UNITED STATES
12802,1,204712,Mature,UNITED STATES
CA0026,0,982613,Mature,REPUBLIC OF KOREA
12033,0,481757,Mature,UNITED STATES
C156420,1,25247,Mature,UNITED KINGDOM
C850120,1,1368574,Mature,RUSSIAN FEDERATION
C850120,1,1368578,Mature,RUSSIAN FEDERATION
CA0001,0,87797,Mature,AUSTRALIA
CA0001,1,1013872,Mature,AUSTRALIA
11913,0,963110,Mature,UNITED STATES
C188860,1,416023,Mature,GERMANY
C188860,1,416024,Mature,GERMANY
C188860,0,1226488,Mature,GERMANY
C150030,0,1134507,Mature,UNITED KINGDOM
C150030,0,1134569,Mature,UNITED KINGDOM
13408,1,1625294,Mature,UNITED STATES
13408,1,462486,Mature,UNITED STATES
C712020,1,17358,Mature,SPAIN
C712020,1,11238,Young,SPAIN
C711300,0,1562,Mature,SPAIN
C158770,0,703538,Mature,UNITED KINGDOM
C158770,0,703538,Mature,UNITED KINGDOM
C158770,1,1182789,Mature,UNITED KINGDOM
C158770,1,1182789,Mature,UNITED KINGDOM
13415,0,1366229,Mature,UNITED STATES
C188310,1,2221858,Mature,GERMANY
C320050,0,354079,Mature,SOUTH AFRICA
C320050,0,307616,Mature,SOUTH AFRICA
C610000,1,1257627,Mature,DENMARK
C610000,1,948582,Mature,DENMARK
C610000,1,27895,Mature,DENMARK
CH0007,0,180825,Mature,INDIA
CH0007,0,6484,Mature,INDIA
CH0007,0,160198,Mature,INDIA
10800,1,652833,Mature,UNITED STATES
11490,1,605197,Mature,CANADA
11490,1,1388832,Mature,CANADA
11490,1,1400317,Mature,CANADA
CA0001,1,658294,Mature,AUSTRALIA
CA0001,1,666046,Mature,AUSTRALIA
C320050,1,1188911,Mature,SOUTH AFRICA
C320050,0,968220,Mature,SOUTH AFRICA
10800,1,1971296,Mature,UNITED STATES
11378,1,1685172,Mature,CANADA
11378,1,3748068,Mature,CANADA
11682,1,32630,Mature,UNITED STATES
12687,1,2413079,Mature,UNITED STATES
C113880,1,1304134,Mature,NETHERLANDS
C113880,1,798398,Mature,NETHERLANDS
C188240,0,487921,Mature,GERMANY
C188240,0,487921,Young,GERMANY
C188240,1,849253,Mature,GERMANY
11630,1,635358,Mature,UNITED STATES
C188240,0,1855799,Mature,GERMANY
C188240,0,266941,Mature,GERMANY
C156170,0,528036,Mature,UNITED KINGDOM
C156170,0,528190,Mature,UNITED KINGDOM
11302,0,959179,Mature,UNITED STATES
11302,0,813867,Mature,UNITED STATES
11302,1,415852,Mature,UNITED STATES
11302,1,875113,Mature,UNITED STATES
C146490,1,1351021,Mature,ITALY
C146490,1,1351021,Mature,ITALY
13442,1,2216747,Mature,UNITED STATES
13442,1,540178,Mature,UNITED STATES
13442,1,533766,Mature,UNITED STATES
CA0012,1,42188,Mature,REPUBLIC OF KOREA
C840035,1,1812306,Mature,POLAND
C840035,1,1296783,Mature,POLAND
13552,0,261963,Mature,CANADA
12906,1,1006416,Mature,UNITED STATES
12906,1,135542,Mature,UNITED STATES
C500011,1,1377998,Mature,SWITZERLAND
C500011,1,1377998,Mature,SWITZERLAND
CJ169354,1,611135,Mature,JAPAN
C144330,1,1222333,Mature,ITALY
C146370,1,1080609,Mature,ITALY
11612,1,149152,Mature,UNITED STATES
11612,1,1417195,Mature,UNITED STATES
11612,0,52143,Mature,UNITED STATES
10224,1,788170,Mature,UNITED STATES
10224,1,246175,Mature,UNITED STATES
11445,1,3402355,Mature,UNITED STATES
11445,1,3402355,Mature,UNITED STATES
CA0001,1,495472,Mature,AUSTRALIA
C710860,0,100806,Mature,SPAIN
C710860,0,99824,Mature,SPAIN
C710860,1,1004605,Mature,SPAIN
C710860,1,884844,Mature,SPAIN
C157280,0,271234,Mature,UNITED KINGDOM
C500012,0,106737,Mature,AUSTRIA
C500012,0,106737,Young,AUSTRIA
12035,1,2440723,Mature,UNITED STATES
12035,1,2385186,Mature,UNITED STATES
12035,0,835050,Mature,UNITED STATES
C720000,0,37830,Mature,PORTUGAL
C150120,1,1234,Young,UNITED KINGDOM
11063,0,489480,Mature,UNITED STATES
11063,0,1501622,Mature,UNITED STATES
10800,0,673487,Mature,UNITED STATES
10800,1,4202293,Mature,UNITED STATES
10800,1,1191368,Mature,UNITED STATES
10800,1,65043,Mature,UNITED STATES
C188240,0,305667,Mature,GERMANY
13523,0,788291,Mature,UNITED STATES
11378,1,1840199,Mature,CANADA
11378,1,2419867,Mature,CANADA
C145590,1,1877575,Mature,ITALY
11490,0,258647,Mature,CANADA
11490,0,165990,Mature,CANADA
11490,0,2601,Young,CANADA
11490,1,739607,Mature,CANADA
11490,1,739607,Mature,CANADA
12849,1,968,Mature,UNITED STATES
12849,1,968,Young,UNITED STATES
10800,1,806801,Mature,UNITED STATES
C114140,1,311602,Mature,NETHERLANDS
C114140,1,1827890,Mature,NETHERLANDS
C114140,1,71234,Mature,NETHERLANDS
C189160,1,609848,Mature,GERMANY
C189160,1,609709,Mature,GERMANY
C189160,0,638516,Mature,GERMANY
C189160,1,95568,Mature,GERMANY
CA0029,1,3048441,Mature,CHINA
12609,0,1072613,Mature,UNITED STATES
12609,0,246629,Mature,UNITED STATES
12609,1,946038,Mature,UNITED STATES
13555,0,30181,Mature,UNITED STATES
CA0029,0,2067866,Mature,CHINA
CA0029,0,2067866,Mature,CHINA
C610000,1,1938,Mature,FINLAND
C610000,1,320,Mature,FINLAND
C610000,1,794931,Mature,FINLAND
C840035,1,1051549,Mature,POLAND
CL0043,0,646821,Mature,BRAZIL
13511,1,194259,Young,UNITED STATES
C180210,1,2014990,Mature,GERMANY
C180210,1,2014602,Mature,GERMANY
C180210,1,1432989,Mature,GERMANY
C180210,1,172222,Mature,GERMANY
12206,1,835150,Young,UNITED STATES
12206,1,794237,Young,UNITED STATES
13062,0,23521,Young,UNITED STATES
C189640,1,262150,Young,GERMANY
